age,employ,address,income,debtinc,creddebt,othdebt,ed,default
32,0,6,18,5.8,0.296496,0.747504,2,1
35,5,3,37,5.4,0.581418,1.416582,3,1
51,16,25,82,4.4,2.604976,1.003024,3,0
39,20,12,39,8.2,0.773916,2.424084,1,0
33,9,8,32,5.5,0.49632,1.26368,1,0
48,3,7,24,7,0.7644,0.9156,1,0
53,9,18,50,11.2,2.016,3.584,1,1
25,4,6,33,5.2,0.552552,1.163448,2,0
23,3,4,24,6.3,0.55188,0.96012,2,0
36,6,15,27,4.6,0.262062,0.979938,2,1
34,18,10,34,15.4,2.099636,3.136364,1,0
30,10,4,22,16.1,1.409716,2.132284,2,0
39,0,8,39,7.9,1.066026,2.014974,1,0
33,2,14,44,3.1,0.52514,0.83886,1,0
29,7,1,63,5.5,0.571725,2.893275,3,0
27,3,4,35,13.3,1.60132,3.05368,3,0
48,0,27,19,10.8,0.849528,1.202472,3,0
39,15,16,39,1.8,0.139698,0.562302,1,0
40,9,4,64,6.6,0.789888,3.434112,1,0
48,0,23,30,22.3,2.66262,4.02738,1,0
52,19,25,44.44880174,4.7,0.397385,3.785615,1,0
22,1,3,44.44880174,18.6,0.80631,2.35569,1,0
35,10,16,98,13.3,4.874716,8.159284,2,0
34,6,3,27,35.3,1.982448,7.548552,4,1
31,7,2,20,12.3,0.1107,2.3493,1,0
35,1,8,24,12.5,0.591,2.409,2,1
25,6,6,22,20.2,2.261996,2.182004,1,0
48,14,10,59,16.5,4.935645,4.799355,4,1
24,8,0,17,5.6,0.569296,0.382704,1,1
39,6,19,42,19.9,2.540832,5.817168,1,1
35,4,16,29,11,1.84382,1.34618,4,0
30,10,2,19,4.4,0.336072,0.499928,1,0
45,10,14,52,5.4,0.932256,1.875744,1,0
29,3,6,26,6.1,0.537654,1.048346,2,1
34,3,8,21,23.1,1.401939,3.449061,2,0
29,0,8,22,12.9,1.038708,1.799292,2,1
49,11,5,44.44880174,10.1,2.457936,1.481064,1,0
29,4,9,19,6.3,0.681093,0.515907,2,0
25,6,2,26,4.5,0.0702,1.0998,2,0
28,5,6,25,2.9,0.338575,0.386425,2,0
21,0,1,26,7.7,1.529528,0.472472,3,0
45,3,15,20,2.1,0.105,0.315,1,0
46,6,19,31,12.2,1.98555,1.79645,1,0
36,9,1,40,9.8,1.97568,1.94432,1,0
29,9,3,36,1.4,0.127008,0.376992,2,0
25,0,1,18,33.4,2.801592,3.210408,4,1
27,10,6,31,17.3,1.362202,4.000798,1,0
31,13,12,27,5,0.2376,1.1124,1,0
43,25,21,64,16.7,0.951232,9.736768,1,0
23,0,1,17,27.7,2.043706,2.665294,2,1
26,10,1,25,7.1,1.3064,0.4686,1,0
43,1,5,44.44880174,10.6,1.518556,1.237444,3,0
28,0,7,29,24.2,1.424654,5.593346,4,0
31,4,10,28,11.3,0.291088,2.872912,1,0
26,8,1,40,11.8,0.44368,4.27632,2,0
32,12,3,63,18.2,5.549544,5.916456,2,0
37,6,10,31,11.7,1.701063,1.925937,1,1
30,0,11,17,12,0.30396,1.73604,1,0
25,1,6,15,11.4,0.37107,1.33893,1,1
29,9,8,30,8.2,0.15498,2.30502,1,0
34,13,11,51,9.6,1.875168,3.020832,1,0
41,9,13,47,5,0.4371,1.9129,4,0
41,7,11,43,4.4,0.694364,1.197636,1,0
34,9,8,48,9.3,0.419616,4.044384,1,0
45,21,26,132,3,2.55816,1.40184,2,0
36,4,15,17,17.3,0.520557,2.420443,1,0
34,7,15,40,6.4,0.94976,1.61024,4,0
52,24,14,64,10,3.9296,2.4704,1,0
26,3,5,29,25.7,2.526567,4.926433,1,1
29,6,4,21,11.5,0.369495,2.045505,2,0
37,12,14,44.44880174,14.7,2.994684,3.473316,1,0
39,22,9,73,14.3,3.726723,6.712277,1,0
34,7,0,27,2.2,0.125334,0.468666,3,0
37,11,4,75,3.5,0.632625,1.992375,2,0
34,16,25,64,8.6,1.865856,3.638144,1,0
52,13,17,234,7.7,7.38738,10.63062,4,0
41,4,19,25,10.1,1.0605,1.4645,1,0
39,10,4,31,4.8,0.184512,1.303488,1,0
31,11,8,25,9.1,0.14105,2.13395,1,0
41,24,12,83,14,6.58854,5.03146,1,0
48,22,15,100,9.1,3.7037,5.3963,1,0
50,4,4,23,12.5,0.140875,2.734125,1,0
40,3,2,28,9.5,0.55328,2.10672,2,0
34,12,5,44.44880174,25.1,7.817144,9.250856,1,1
36,14,11,81,7.2,1.784592,4.047408,1,0
44,18,4,74,13.4,4.521696,5.394304,2,0
33,5,10,18,12.9,0.984528,1.337472,1,0
28,12,7,45,7.7,1.853775,1.611225,1,0
33,6,14,21,7.5,0.567,1.008,1,0
32,0,4,20,3,0.2634,0.3366,1,1
30,1,8,17,11,0.74613,1.12387,1,0
51,22,23,120,7.6,4.14048,4.97952,2,0
42,0,9,64,6.6,0.278784,3.945216,3,0
41,4,14,26,19.2,1.47264,3.51936,2,1
31,2,4,22,12.7,1.092454,1.701546,1,1
29,8,10,44.44880174,6.7,0.469536,1.138464,1,0
41,1,16,19,4.4,0.241604,0.594396,1,0
46,1,12,20,14,0.8092,1.9908,1,0
28,11,6,24,2.4,0.107136,0.468864,1,0
21,0,2,24,7.7,0.833448,1.014552,3,0
33,7,0,22,6.4,0.630784,0.777216,1,0
27,1,0,20,10.3,0.37698,1.68302,2,1
27,6,4,26,10.4,0.930176,1.773824,3,0
39,15,19,32,4.9,0.421792,1.146208,2,0
38,18,19,44,4.5,0.60588,1.37412,1,0
45,16,21,80,3,0.912,1.488,3,0
40,8,17,28,3.6,0.53424,0.47376,1,0
32,5,9,23,4.5,0.326025,0.708975,3,0
30,4,2,18,10.7,0.227268,1.698732,1,0
42,11,5,73,6.8,2.869192,2.094808,2,0
30,4,4,21,18.3,0.491904,3.351096,1,0
46,9,10,60,15.3,1.6065,7.5735,3,0
28,8,6,30,7.2,0.61344,1.54656,1,0
40,12,6,89,17.4,2.771994,12.714006,1,0
40,17,11,116,6,2.56128,4.39872,3,0
50,1,26,26,14.3,1.851564,1.866436,1,0
27,5,6,25,6.8,0.7055,0.9945,2,0
31,10,12,49,9.8,3.236548,1.565452,1,1
45,15,14,51,18.1,1.550808,7.680192,2,0
33,12,11,32,11.3,2.104512,1.511488,1,0
28,4,1,16,23.8,1.08528,2.72272,1,0
32,8,6,26,4.1,0.326196,0.739804,1,0
39,4,9,38,6.5,1.17819,1.29181,1,0
22,0,0,23,8.4,0.372876,1.559124,3,1
33,7,6,26,6,0.54288,1.01712,1,0
36,1,4,16,9.3,0.433008,1.054992,1,0
24,8,4,24,5,0.3816,0.8184,1,0
40,5,12,35,16.4,1.58424,4.15576,2,1
42,5,3,41,3.4,0.35547,1.03853,2,0
33,9,4,44.44880174,13.8,1.348674,2.653326,1,1
29,10,8,44,18.1,3.70326,4.26074,2,0
46,14,25,35,10.2,1.34946,2.22054,1,0
33,13,2,40,7.2,0.18144,2.69856,2,0
48,3,23,45,9.8,0.97461,3.43539,4,0
25,4,5,27,5,0.54945,0.80055,2,1
51,10,1,44,13.2,4.960032,0.847968,1,1
29,6,4,44.44880174,5.4,1.169964,1.314036,1,0
31,9,8,53,13.5,1.194885,5.960115,2,0
34,15,0,67,13.2,3.741012,5.102988,1,0
34,15,10,39,3.2,0.6864,0.5616,1,0
34,13,8,56,6.1,0.864248,2.551752,1,0
36,11,8,49,1.3,0.272636,0.364364,2,0
26,6,0,22,10.3,0.720588,1.545412,1,0
26,2,6,21,19.8,1.022868,3.135132,1,0
41,2,0,15,26.3,1.960665,1.984335,3,1
23,7,3,22,14.4,0.849024,2.318976,1,0
29,9,0,46,1.6,0.241408,0.494592,2,0
31,11,6,44.44880174,4.8,0.345408,0.998592,1,1
34,16,9,48,7.6,1.473792,2.174208,1,0
30,0,8,65,29.7,3.89961,15.40539,3,1
22,1,3,44.44880174,13.8,1.97685,1.47315,3,1
22,0,3,20,5.6,0.2072,0.9128,2,0
39,22,9,113,2.6,0.987168,1.950832,1,0
23,3,4,34,4.4,0.2618,1.2342,2,0
38,18,7,45,7,0.5355,2.6145,1,0
36,5,12,20,8.1,0.729,0.891,5,0
31,6,8,54,2.8,0.402192,1.109808,3,0
38,3,18,25,3.7,0.311725,0.613275,1,0
40,5,6,75,1.9,0.884925,0.540075,4,0
24,2,5,44.44880174,6.4,0.270336,0.753664,3,1
48,30,8,101,6.4,1.87456,4.58944,2,0
45,19,22,77,8.4,2.302608,4.165392,1,0
27,3,5,33,13.2,1.6335,2.7225,2,0
33,13,3,52,21.3,2.71362,8.36238,1,1
41,6,0,36,19.5,4.51386,2.50614,2,1
52,12,16,76,7.7,0.99484,4.85716,2,0
22,4,1,16,1.2,0.08448,0.10752,1,0
26,0,0,14,7.5,0.3024,0.7476,1,1
42,12,11,51,21.4,2.411994,8.502006,1,0
21,1,2,16,18,0.24192,2.63808,1,1
44,5,3,48,9,1.96992,2.35008,1,1
34,16,9,79,4,1.73484,1.42516,1,0
35,7,5,38,15.1,1.382858,4.355142,3,0
27,2,7,26,6,0.72228,0.83772,1,0
34,9,13,45,10.1,1.11807,3.42693,2,0
27,1,0,23,12.4,0.2852,2.5668,2,0
29,1,1,18,1.1,0.029898,0.168102,1,0
48,17,26,113,12,3.37644,10.18356,3,0
33,12,8,58,18.4,3.084208,7.587792,2,0
38,2,16,22,22.7,1.208548,3.785452,2,1
37,1,3,24,15.1,1.801128,1.822872,1,1
36,20,15,44.44880174,5.4,1.05624,2.18376,1,0
38,11,13,35,8,1.2656,1.5344,1,0
23,0,2,21,11.4,0.775656,1.618344,2,1
35,7,5,39,16.1,1.701609,4.577391,1,1
25,5,5,22,10.9,0.402864,1.995136,1,0
33,4,9,55,7,2.15985,1.69015,2,0
25,0,6,44.44880174,12.1,1.5972,1.3068,4,1
52,9,0,70,9.4,1.32916,5.25084,5,1
41,7,17,63,15.4,4.637556,5.064444,2,0
41,16,22,49,1.6,0.4312,0.3528,1,0
28,6,9,22,11.5,0.65021,1.87979,2,0
30,11,9,27,0.9,0.073872,0.169128,1,0
31,9,2,28,2.6,0.121576,0.606424,3,0
23,0,4,32,18.4,0.818432,5.069568,4,1
35,10,15,39,10.4,1.60212,2.45388,3,0
24,6,2,21,5.2,0.108108,0.983892,1,0
31,7,11,41,30.7,2.995706,9.591294,1,1
27,0,6,70,8,1.6184,3.9816,4,1
29,1,3,18,25.6,1.98144,2.62656,1,1
29,3,1,17,9,0.46971,1.06029,1,0
47,17,21,43,5.6,0.587552,1.820448,1,0
46,1,15,21,14.8,1.376844,1.731156,1,1
31,6,6,32,23.1,3.341184,4.050816,2,1
43,25,16,242,2.6,1.63592,4.65608,1,0
40,13,2,28,5.9,0.964768,0.687232,1,0
34,9,7,27,1.7,0.295137,0.163863,2,0
29,1,10,30,4.5,0.27945,1.07055,3,0
24,4,4,20,3.7,0.32412,0.41588,2,0
30,12,10,38,8.5,0.17119,3.05881,1,0
53,16,31,44,5.6,1.333024,1.130976,2,0
28,2,5,30,19.9,1.52235,4.44765,3,0
46,9,26,15,4.3,0.014835,0.630165,2,0
55,3,11,40,8,0.5632,2.6368,1,1
50,16,14,71,11.1,1.662891,6.218109,2,0
23,0,2,23,6.7,0.468464,1.072536,4,0
27,10,6,34,6.5,0.85085,1.35915,1,0
25,1,1,34,8.5,0.13294,2.75706,4,1
28,2,0,18,14.8,1.939392,0.724608,1,1
34,4,10,25,5.8,0.56985,0.88015,2,0
30,0,11,17,3.7,0.44659,0.18241,1,1
39,22,3,52,3.2,1.154816,0.509184,1,0
29,7,9,22,9.7,0.550572,1.583428,1,0
38,4,13,56,1.6,0.441728,0.454272,2,0
48,28,25,70,12,4.3344,4.0656,1,0
38,12,18,64,5.8,0.894592,2.817408,3,0
21,1,1,18,17.3,0.158814,2.955186,1,0
40,2,4,32,3.7,0.853664,0.330336,1,0
34,8,27,47,6.9,0.398889,2.844111,1,0
29,7,5,20,19.8,1.00584,2.95416,3,1
27,6,6,43,4.9,0.882833,1.224167,1,0
34,0,1,21,7.2,0.187488,1.324512,1,0
28,0,2,28,33.3,2.28438,7.03962,1,1
26,1,7,27,2.9,0.311634,0.471366,4,0
28,6,8,47,19.8,5.574294,3.731706,3,1
30,7,10,30,15.7,0.26376,4.44624,4,0
50,15,31,60,1.1,0.46794,0.19206,2,0
41,23,2,91,13.7,0.573482,11.893518,1,0
31,1,6,21,2.5,0.2772,0.2478,1,1
24,0,2,16,16,1.00864,1.55136,1,1
31,1,1,44.44880174,4.5,0.21708,0.86292,1,0
25,3,2,18,16.3,0.35208,2.58192,1,1
36,4,10,23,16.3,1.327146,2.421854,1,0
42,15,8,186,3.6,2.403864,4.292136,4,0
27,0,1,16,1.7,0.182512,0.089488,1,0
39,19,16,45,3.7,0.91575,0.74925,1,0
42,13,0,82,3.3,1.315116,1.390884,1,0
40,16,6,116,12.1,1.61414,12.42186,3,0
34,0,26,44.44880174,28.9,2.754459,5.048541,1,1
54,18,34,114,8.5,3.2946,6.3954,1,0
37,4,11,20,21.7,0.1736,4.1664,2,1
42,12,9,55,15,2.53275,5.71725,2,0
49,2,13,20,16.9,0.37856,3.00144,2,1
38,4,9,19,13.6,1.245488,1.338512,1,0
28,2,4,41,2.5,0.4592,0.5658,4,1
47,13,25,51,23.8,3.738504,8.399496,1,0
29,1,9,17,6.7,0.157182,0.981818,1,0
52,9,11,24,19.2,0.801792,3.806208,1,1
31,8,4,44,8,1.72128,1.79872,1,0
53,6,7,27,6.4,0.594432,1.133568,1,1
42,14,1,48,8.6,1.201248,2.926752,2,1
31,12,9,24,6.6,0.441936,1.142064,1,0
21,2,0,20,4.5,0.2907,0.6093,2,1
29,7,2,84,13.6,6.91152,4.51248,3,1
21,0,2,21,12.5,0.48825,2.13675,2,1
35,1,1,21,7.9,0.369957,1.289043,2,0
46,22,4,99,2.3,0.826551,1.450449,3,0
27,3,4,45,11,0.29205,4.65795,3,1
43,13,23,76,6.1,2.151104,2.484896,1,1
47,22,19,81,5.5,1.50579,2.94921,1,0
27,4,3,22,13.2,1.086096,1.817904,2,1
27,8,4,38,6.9,0.364458,2.257542,2,0
29,3,8,15,2.6,0.14664,0.24336,2,0
54,21,20,118,14.4,9.60048,7.39152,3,0
37,5,17,29,24.6,1.405398,5.728602,3,0
37,12,8,83,4.1,0.319882,3.083118,3,0
32,11,4,57,23.8,5.439966,8.126034,2,1
35,16,15,36,3.4,0.178704,1.045296,1,0
22,4,2,24,15.6,1.636128,2.107872,1,1
35,10,16,44.44880174,5.7,0.217854,2.005146,1,0
36,11,2,33,32.5,1.26555,9.45945,1,0
36,13,3,39,19.2,2.800512,4.687488,3,0
39,2,15,22,23.1,1.915914,3.166086,1,1
48,13,20,50,30.8,6.1138,9.2862,1,1
39,13,1,38,8.9,1.897302,1.484698,1,0
39,7,2,68,13,1.0166,7.8234,2,1
28,3,6,26,10,0.4316,2.1684,1,0
28,0,3,30,4.8,0.12096,1.31904,1,1
31,8,3,41,12.6,0.134316,5.031684,1,0
24,0,3,29,6.6,0.589512,1.324488,4,1
39,18,9,44,2.1,0.367752,0.556248,2,0
25,0,2,44.44880174,17.6,2.14016,3.49184,4,0
24,1,0,18,5.9,0.23895,0.82305,1,1
34,5,7,28,7.8,1.024296,1.159704,2,0
36,9,6,49,8.6,0.817516,3.396484,2,1
34,0,10,20,17.1,2.04858,1.37142,1,0
45,2,19,29,5.4,0.443178,1.122822,2,0
36,7,16,43,15.4,2.6488,3.9732,2,0
45,9,26,69,6.7,0.707319,3.915681,2,0
37,9,8,57,5.5,1.357455,1.777545,1,0
39,19,5,48,13.1,1.930416,4.357584,1,0
44,12,5,86,13,1.47576,9.70424,2,0
49,11,1,51,15,0.54315,7.10685,2,0
36,10,4,43,13,0.96148,4.62852,3,0
39,9,12,32,6.6,1.429824,0.682176,2,0
37,1,14,33,16.1,2.693691,2.619309,4,1
46,15,0,126,3.1,0.476532,3.429468,5,0
28,5,9,34,23.8,3.099236,4.992764,2,0
30,12,9,68,20.1,2.856612,10.811388,2,0
37,9,16,177,5.9,0.887655,9.555345,5,0
23,1,0,21,8.4,1.210104,0.553896,1,1
50,11,5,36,4.8,0.834624,0.893376,1,0
40,3,13,23,6.9,0.409446,1.177554,1,0
28,2,0,20,9.4,0.23312,1.64688,3,1
39,9,6,35,5,0.23275,1.51725,1,0
26,6,0,35,1.9,0.085785,0.579215,2,0
39,16,4,52,20,4.16,6.24,1,0
31,6,9,21,8.3,0.728574,1.014426,1,0
42,6,9,31,11.6,1.02486,2.57114,1,0
42,2,16,30,9.7,1.47246,1.43754,1,0
27,4,1,40,3.1,0.28396,0.95604,3,1
34,12,11,38,3.6,0.128592,1.239408,1,0
53,5,29,78,17.3,6.935916,6.558084,4,1
27,9,6,45,17.8,2.85156,5.15844,1,1
29,5,4,36,12.4,3.490848,0.973152,2,1
51,27,21,166,11.5,0.82087,18.26913,2,0
38,3,19,23,14.7,0.831726,2.549274,1,0
34,12,8,47,6.7,1.300537,1.848463,3,0
33,2,9,37,4.5,0.834165,0.830835,2,0
47,23,11,115,4,0.6532,3.9468,3,0
26,0,7,28,9.3,1.270752,1.333248,2,0
35,7,14,29,4.9,0.264306,1.156694,1,0
33,13,13,42,3.6,0.228312,1.283688,1,0
34,13,3,105,1.9,1.418445,0.576555,2,0
29,6,10,65,18.4,1.98536,9.97464,2,0
24,0,2,15,16.1,0.321195,2.093805,2,1
38,5,13,21,9,0.44982,1.44018,1,0
26,2,6,24,13.6,1.576512,1.687488,2,1
37,13,5,24,8.9,0.602352,1.533648,1,0
34,15,2,39,24.7,4.373382,5.259618,1,1
40,22,4,95,3.6,0.6327,2.7873,1,0
28,1,4,16,14.7,0.573888,1.778112,2,0
37,16,14,50,36.6,7.32,10.98,3,1
41,19,2,68,5.8,1.506608,2.437392,2,0
41,16,17,68,5.4,0.447984,3.224016,1,0
23,0,1,42,3.9,1.018836,0.619164,2,1
47,26,21,100,12.8,4.5824,8.2176,1,0
24,7,0,18,6.5,0.5265,0.6435,1,0
32,12,1,44.44880174,14.4,3.195936,4.580064,2,0
